timestamp,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5
2026-08-18T15:56:46.269613,62,61,156,156,58,59,0
2026-08-18T15:56:46.270393,61,61,155,155,59,60,0
2026-08-18T15:56:46.273034,63,61,156,155,59,60,0
2026-08-18T15:56:46.273034,63,62,156,156,60,60,0
2026-08-18T15:56:46.274033,61,61,155,155,59,59,0
2026-08-18T15:56:46.277015,63,61,156,156,60,58,0
2026-08-18T15:56:46.277015,62,61,156,156,58,59,0
2026-08-18T15:56:46.278016,62,59,155,155,58,59,0
2026-08-18T15:56:46.281027,63,60,155,155,58,59,0
2026-08-18T15:56:46.281027,60,61,155,156,58,59,0
2026-08-18T15:56:46.282076,61,60,155,156,58,58,0
2026-08-18T15:56:46.285000,61,61,156,155,58,58,0
2026-08-18T15:56:46.286111,61,60,156,155,58,58,0
2026-08-18T15:56:46.287048,61,60,156,156,60,59,0
2026-08-18T15:56:46.288757,63,61,156,156,59,59,0
2026-08-18T15:56:46.289752,61,63,155,156,60,58,0
2026-08-18T15:56:46.290765,63,61,156,155,59,59,0
2026-08-18T15:56:46.292766,63,61,157,156,60,59,0
2026-08-18T15:56:46.293751,62,62,156,156,61,60,0
2026-08-18T15:56:46.294758,63,63,156,156,60,60,0
2026-08-18T15:56:46.296774,61,63,157,157,60,58,0
2026-08-18T15:56:46.297752,62,61,156,157,60,59,0
2026-08-18T15:56:46.298760,64,62,156,156,61,61,0
2026-08-18T15:56:46.301669,64,63,156,156,60,59,0
2026-08-18T15:56:46.301669,62,61,157,157,60,60,0
2026-08-18T15:56:46.302693,63,63,156,157,60,59,0
2026-08-18T15:56:46.305702,63,63,156,156,60,59,0
2026-08-18T15:56:46.305702,63,62,156,157,60,60,0
2026-08-18T15:56:46.306702,62,62,157,157,60,59,0
2026-08-18T15:56:46.309889,61,63,155,157,60,58,0
2026-08-18T15:56:46.309889,62,60,157,157,60,58,0
2026-08-18T15:56:46.310932,63,62,156,156,60,60,0
2026-08-18T15:56:46.313977,62,63,156,157,60,60,0
2026-08-18T15:56:46.313977,62,63,156,156,60,59,0
2026-08-18T15:56:46.314996,63,62,156,155,59,60,0
2026-08-18T15:56:46.318136,64,61,156,156,59,57,0
2026-08-18T15:56:46.318136,61,60,156,156,61,59,0
2026-08-18T15:56:46.319155,62,62,157,156,60,60,0
2026-08-18T15:56:46.321481,62,61,156,157,60,60,0
2026-08-18T15:56:46.322463,63,60,156,157,60,58,0
